ray.origin.x, ray.origin.y, ray.origin.z, ray.direction.x, ray.direction.y, ray.direction.z
-1.773333, 0.995556, -1.000000, 1.773333, -0.995556, 1.000000
-1.764444, 0.995556, -1.000000, 1.764444, -0.995556, 1.000000
-1.755556, 0.995556, -1.000000, 1.755556, -0.995556, 1.000000
-1.746667, 0.995556, -1.000000, 1.746667, -0.995556, 1.000000
-1.737778, 0.995556, -1.000000, 1.737778, -0.995556, 1.000000
-1.728889, 0.995556, -1.000000, 1.728889, -0.995556, 1.000000
-1.720000, 0.995556, -1.000000, 1.720000, -0.995556, 1.000000
-1.711111, 0.995556, -1.000000, 1.711111, -0.995556, 1.000000
-1.702222, 0.995556, -1.000000, 1.702222, -0.995556, 1.000000
-1.693333, 0.995556, -1.000000, 1.693333, -0.995556, 1.000000
-1.684444, 0.995556, -1.000000, 1.684444, -0.995556, 1.000000
-1.675556, 0.995556, -1.000000, 1.675556, -0.995556, 1.000000
-1.666667, 0.995556, -1.000000, 1.666667, -0.995556, 1.000000
-1.657778, 0.995556, -1.000000, 1.657778, -0.995556, 1.000000
-1.648889, 0.995556, -1.000000, 1.648889, -0.995556, 1.000000
-1.640000, 0.995556, -1.000000, 1.640000, -0.995556, 1.000000
-1.631111, 0.995556, -1.000000, 1.631111, -0.995556, 1.000000
-1.622222, 0.995556, -1.000000, 1.622222, -0.995556, 1.000000
-1.613333, 0.995556, -1.000000, 1.613333, -0.995556, 1.000000
-1.604444, 0.995556, -1.000000, 1.604444, -0.995556, 1.000000
-1.595556, 0.995556, -1.000000, 1.595556, -0.995556, 1.000000
-1.586667, 0.995556, -1.000000, 1.586667, -0.995556, 1.000000
-1.577778, 0.995556, -1.000000, 1.577778, -0.995556, 1.000000
-1.568889, 0.995556, -1.000000, 1.568889, -0.995556, 1.000000
-1.560000, 0.995556, -1.000000, 1.560000, -0.995556, 1.000000
-1.551111, 0.995556, -1.000000, 1.551111, -0.995556, 1.000000
-1.542222, 0.995556, -1.000000, 1.542222, -0.995556, 1.000000
-1.533333, 0.995556, -1.000000, 1.533333, -0.995556, 1.000000
-1.524444, 0.995556, -1.000000, 1.524444, -0.995556, 1.000000
-1.515556, 0.995556, -1.000000, 1.515556, -0.995556, 1.000000
-1.506667, 0.995556, -1.000000, 1.506667, -0.995556, 1.000000
-1.497778, 0.995556, -1.000000, 1.497778, -0.995556, 1.000000
-1.488889, 0.995556, -1.000000, 1.488889, -0.995556, 1.000000
-1.480000, 0.995556, -1.000000, 1.480000, -0.995556, 1.000000
-1.471111, 0.995556, -1.000000, 1.471111, -0.995556, 1.000000
-1.462222, 0.995556, -1.000000, 1.462222, -0.995556, 1.000000
-1.453333, 0.995556, -1.000000, 1.453333, -0.995556, 1.000000
-1.444444, 0.995556, -1.000000, 1.444444, -0.995556, 1.000000
-1.435556, 0.995556, -1.000000, 1.435556, -0.995556, 1.000000
-1.426667, 0.995556, -1.000000, 1.426667, -0.995556, 1.000000
-1.417778, 0.995556, -1.000000, 1.417778, -0.995556, 1.000000
-1.408889, 0.995556, -1.000000, 1.408889, -0.995556, 1.000000
-1.400000, 0.995556, -1.000000, 1.400000, -0.995556, 1.000000
-1.391111, 0.995556, -1.000000, 1.391111, -0.995556, 1.000000
-1.382222, 0.995556, -1.000000, 1.382222, -0.995556, 1.000000
-1.373333, 0.995556, -1.000000, 1.373333, -0.995556, 1.000000
-1.364444, 0.995556, -1.000000, 1.364444, -0.995556, 1.000000
-1.355556, 0.995556, -1.000000, 1.355556, -0.995556, 1.000000
-1.346667, 0.995556, -1.000000, 1.346667, -0.995556, 1.000000
-1.337778, 0.995556, -1.000000, 1.337778, -0.995556, 1.000000
-1.328889, 0.995556, -1.000000, 1.328889, -0.995556, 1.000000
-1.320000, 0.995556, -1.000000, 1.320000, -0.995556, 1.000000
-1.311111, 0.995556, -1.000000, 1.311111, -0.995556, 1.000000
-1.302222, 0.995556, -1.000000, 1.302222, -0.995556, 1.000000
-1.293333, 0.995556, -1.000000, 1.293333, -0.995556, 1.000000
-1.284444, 0.995556, -1.000000, 1.284444, -0.995556, 1.000000
-1.275556, 0.995556, -1.000000, 1.275556, -0.995556, 1.000000
-1.266667, 0.995556, -1.000000, 1.266667, -0.995556, 1.000000
-1.257778, 0.995556, -1.000000, 1.257778, -0.995556, 1.000000
-1.248889, 0.995556, -1.000000, 1.248889, -0.995556, 1.000000
-1.240000, 0.995556, -1.000000, 1.240000, -0.995556, 1.000000
-1.231111, 0.995556, -1.000000, 1.231111, -0.995556, 1.000000
-1.222222, 0.995556, -1.000000, 1.222222, -0.995556, 1.000000
-1.213333, 0.995556, -1.000000, 1.213333, -0.995556, 1.000000
-1.204444, 0.995556, -1.000000, 1.204444, -0.995556, 1.000000
-1.195556, 0.995556, -1.000000, 1.195556, -0.995556, 1.000000
-1.186667, 0.995556, -1.000000, 1.186667, -0.995556, 1.000000
-1.177778, 0.995556, -1.000000, 1.177778, -0.995556, 1.000000
-1.168889, 0.995556, -1.000000, 1.168889, -0.995556, 1.000000
-1.160000, 0.995556, -1.000000, 1.160000, -0.995556, 1.000000
-1.151111, 0.995556, -1.000000, 1.151111, -0.995556, 1.000000
-1.142222, 0.995556, -1.000000, 1.142222, -0.995556, 1.000000
-1.133333, 0.995556, -1.000000, 1.133333, -0.995556, 1.000000
-1.124444, 0.995556, -1.000000, 1.124444, -0.995556, 1.000000
-1.115556, 0.995556, -1.000000, 1.115556, -0.995556, 1.000000
-1.106667, 0.995556, -1.000000, 1.106667, -0.995556, 1.000000
-1.097778, 0.995556, -1.000000, 1.097778, -0.995556, 1.000000
-1.088889, 0.995556, -1.000000, 1.088889, -0.995556, 1.000000
-1.080000, 0.995556, -1.000000, 1.080000, -0.995556, 1.000000
-1.071111, 0.995556, -1.000000, 1.071111, -0.995556, 1.000000
-1.062222, 0.995556, -1.000000, 1.062222, -0.995556, 1.000000
-1.053333, 0.995556, -1.000000, 1.053333, -0.995556, 1.000000
-1.044444, 0.995556, -1.000000, 1.044444, -0.995556, 1.000000
-1.035556, 0.995556, -1.000000, 1.035556, -0.995556, 1.000000
-1.026667, 0.995556, -1.000000, 1.026667, -0.995556, 1.000000
-1.017778, 0.995556, -1.000000, 1.017778, -0.995556, 1.000000
-1.008889, 0.995556, -1.000000, 1.008889, -0.995556, 1.000000
-1.000000, 0.995556, -1.000000, 1.000000, -0.995556, 1.000000
-0.991111, 0.995556, -1.000000, 0.991111, -0.995556, 1.000000
-0.982222, 0.995556, -1.000000, 0.982222, -0.995556, 1.000000
-0.973333, 0.995556, -1.000000, 0.973333, -0.995556, 1.000000
-0.964444, 0.995556, -1.000000, 0.964444, -0.995556, 1.000000
-0.955556, 0.995556, -1.000000, 0.955556, -0.995556, 1.000000
-0.946667, 0.995556, -1.000000, 0.946667, -0.995556, 1.000000
-0.937778, 0.995556, -1.000000, 0.937778, -0.995556, 1.000000
-0.928889, 0.995556, -1.000000, 0.928889, -0.995556, 1.000000
-0.920000, 0.995556, -1.000000, 0.920000, -0.995556, 1.000000
-0.911111, 0.995556, -1.000000, 0.911111, -0.995556, 1.000000
-0.902222, 0.995556, -1.000000, 0.902222, -0.995556, 1.000000
-0.893333, 0.995556, -1.000000, 0.893333, -0.995556, 1.000000
-0.884444, 0.995556, -1.000000, 0.884444, -0.995556, 1.000000
-0.875556, 0.995556, -1.000000, 0.875556, -0.995556, 1.000000
-0.866667, 0.995556, -1.000000, 0.866667, -0.995556, 1.000000
-0.857778, 0.995556, -1.000000, 0.857778, -0.995556, 1.000000
-0.848889, 0.995556, -1.000000, 0.848889, -0.995556, 1.000000
-0.840000, 0.995556, -1.000000, 0.840000, -0.995556, 1.000000
-0.831111, 0.995556, -1.000000, 0.831111, -0.995556, 1.000000
-0.822222, 0.995556, -1.000000, 0.822222, -0.995556, 1.000000
-0.813333, 0.995556, -1.000000, 0.813333, -0.995556, 1.000000
-0.804444, 0.995556, -1.000000, 0.804444, -0.995556, 1.000000
-0.795556, 0.995556, -1.000000, 0.795556, -0.995556, 1.000000
-0.786667, 0.995556, -1.000000, 0.786667, -0.995556, 1.000000
-0.777778, 0.995556, -1.000000, 0.777778, -0.995556, 1.000000
-0.768889, 0.995556, -1.000000, 0.768889, -0.995556, 1.000000
-0.760000, 0.995556, -1.000000, 0.760000, -0.995556, 1.000000
-0.751111, 0.995556, -1.000000, 0.751111, -0.995556, 1.000000
-0.742222, 0.995556, -1.000000, 0.742222, -0.995556, 1.000000
-0.733333, 0.995556, -1.000000, 0.733333, -0.995556, 1.000000
-0.724444, 0.995556, -1.000000, 0.724444, -0.995556, 1.000000
-0.715556, 0.995556, -1.000000, 0.715556, -0.995556, 1.000000
